catagory,quantity,item description,condition,Estimated per item value,how value was determined,Low Estimate Value,Summary of Methodology
,1,hand made speakers,poor,,,20,"The estimate considers several factors such as the condition of the speakers and market listings of similar items. The condition of the speaker determines its appeal to buyers, with poor condition items often having a lower value. Value indication was supported by analyzing listed prices of similar DIY speakers, with various conditions and prices, on HiFi Shark."
,1,Mac Mini (2005) 8 gig memory,fair,,,$50,"The model's vintage status and the likelihood of obsolescence is assessed. The condition of the device, which is fair, indicating visible wear and tear but functional, is considered. The device's memory upgrade is accounted for, as the upgrade could possibly increase the value. The valuation is also based on the market value of similar devices, referencing specific eBay listings."
,1,3x articulated Monitor stands,fair,,,$20,"The estimate takes into consideration three factors: the condition of the monitor stands, the brand and model of the stands, and the prices of similar items listed in the market."
,1,One Wheel (original model) with charger,Poor,,,300,"The valuation considers the condition of the Onewheel, its model and age, and also uses similar market listings to provide an estimate of value. A used Onewheel Plus priced at $600 on eBay was used as a comparable item to derive the value."
,1,Techniques Turn table,Poor,,,50,"The valuation methodology takes into account multiple factors. These include the condition of the turntable, the immediate need for repairs, and how much wear and tear it has seen. Moreover, the method considers current market listings of similar projects, using them as a benchmark to derive the probable value of the item in question. For instance, reference is taken from a registered sale of a Technics SL-5 Direct Drive Linear Tracking Automatic Turntable sold for $51.00."
,20,Misc electronics repiar tools,poor,,,$10,"The valuation of the electronics repair tools considers several factors. These factors include the condition of the tools with tools in poor condition having substantially reduced resale value, the original retail price of the tools serving as a baseline for determining the current value, and the market demand for specific electronics repair tools influencing their resale value. The pricing strategy is to price the tools below 10% of the original retail value. Other considerations include the brand and quality of the tools and the functionality of the tools."
Music,100,vinal albums,Fair,,,$5,"The value of vinyl records is determined based on several factors including the condition of the record, rarity and demand, and market trends. The Goldmine Grading Guide is often used to assess the condition or grading of the record. Discogs is a resource that provides sales history and condition guidelines for vinyl records, which can help in estimating the value of specific albums. Additionally, identifying specific albums in a vinyl collection can provide more accurate estimates."
,250,CDs (30 yeras old),Good,,,$5,"The value of CDs is determined by several factors: the condition of the CD, including the disc, case, and inserts; the rarity and demand, with rare, out-of-print CDs, popular artists, limited editions, promotional copies, or CDs with unique artwork being more valuable; and market trends that influence the demand for certain CDs. Checking online marketplaces like Discogs for price points and current market values of specific CDs is also advised."
Kitchen,3,Henkel brand chef's knives,Good,,,$19.99,"The valuation methodology takes into account factors like the condition of the knife, brand reputation, and market listings of similar items. Condition relates to how well the knife has been maintained, with less wear leading to higher value. For brand reputation, Henckels' high standing for quality assures market value. Market listings provide current market comparables. For instance, pre-owned Zwilling J.A. Henckels chef's knives are listed on eBay around $19.99 to $24.99."
,1,Kai brand chef's knife,Good,,,$20,"The estimate considers the condition of the knife, the brand reputation of Kai, and current market listings of similar items."
,1,countertip electric deli meat slicer,Fair,,,50,"The valuation methodology uses several factors, including the condition of the item, the specific brand and model, and the comparison of market listings of similar items. Using these aspects, the valuation is determined."
,1,"""carnival king"" popcorn popper",Fair,,,$100,"The estimation of the value of the popcorn popper considered factors such as the condition of the popper, the model and specifications, and market listing prices of similar items. A specific example of a similar item listed on eBay was used as a reference for the valuation."
,8,Mikasa Opus Black 5 piece place setting,Good,,,$30,"The methodology involves assessing the condition of the item, analyzing similar items for insights into current market valuations based on both new and pre-owned listings of the same product on eBay, and using specific examples as a comparative measure for valuation."
,1,Mikasa Opus black cofee pot,Good,,,33.95,"Assessment based on the item's condition and market listings comparison. More specifically, the similarities in condition and pricing of similar items listed on Replacements, Ltd. and eBay were taken into account."
,2,Mikasa Opus black serving platter,Good,,,$25.00,"Estimate of pricing is determined based on factors such as the condition of the item, and analysis of current market listings (% places and prices listed). A specific 14"" Oval Serving Platter listing on Replacements, Ltd. was used as a comparable item to give an idea of the market price."
,4,Mikasa Opus Black coffee mug,Good,,,$8,"The estimation of the value for the Mikasa Opus Black coffee mug is based on its good condition and analysis of similar items currently listed on the market. The listings analyzed are mainly from eBay, where similar items are priced, and the average per mug cost is calculated."
Toys/sporting goods,10 lbs,misc Legos,Poor,,,$1,"The estimated value considers various factors such as condition of the LEGO pieces, market listings of similar items, and specific case examples, like BrickLAB's valuation of bulk LEGO in poor condition. Condition refers to the pieces being dirty, damaged, or mixed with non-LEGO elements. Comparable market listings, like BrickLAB and BuyBackWorld, provide a reference point for current market values."
,54,misc action figures (out of box),Fair,,,$5,"The valuation methodology considers the condition of the action figures, their rarity and demand, and analyzes similar items currently in the market. For condition, it takes into account noticeable wear such as paint loss, loose joints or minor damage. Rarity and demand insight is formed based on popularity or limit of the toy line. Market listings are studied for comparable items to get insight on current market valuations."
,100,misc collectable toys (out of box),Poor,,,$5,"The estimation considers condition of the toy, its rarity, demand in the market, and the price of similar items. Poor condition indicates significant wear, damage, or missing parts, which substantially decreases a toy's value. Rare or highly sought-after toys may retain some value due to collector interest even if in poor condition. The current market price is determined by analyzing similar items listed for sale."
,20,Picutres of my mother,Poor,,,$0,"The value of personal or family photos is assessed based on their market relevance (are they linked to notable public figures, historical events, or art?), condition (are they suffering from any damage that would devalue them?), and historical or artistic interest (do they capture a significant event or artistic themes?). If they tick these boxes, they could have monetary value. However, common personal or family photos without these attributes typically do not have significant monetary value."
,15,juggeling toys and back pack,poor,,,$5,"The estimate considers multiple factors - the condition of the item, market listings, and the price of similar items. For the condition, items in poor conditions are less appealing to buyers, thus have lower resale values. Market listings provide insight into current market valuations. The price of similar items helps to gauge an approximate value."
,1,1978 nishiki brand bicycle and stand,poor,,,10,"The estimate considers several factors such as the condition of the items, market listings where similar items' values are analyzed, and specific examples from marketplaces like eBay."
,1,Snoboard,poor,,,50,"The estimated value of the used snowboard in poor condition considers factors such as the condition of the board, the brand and model, and current market listings. Examples of similar items listed online are analyzed to provide insight into market valuations. For instance, a used 2016 RIDE Manic Snowboard in fair condition on eBay was starting at a bid of $125, and it was estimated a similar board in poor condition might be worth around $50 to $75."
,1,Snoboard helmet,poor,,,5,"The estimate for the value of a snowboard helmet in poor condition considers factors such as condition of the helmet, market listings of similar items, and specific examples of similar items sold. Condition refers to significant wear, damage, or outdated safety standards that may devalue the item and make it less appealing to buyers. Market listings are analyzed to understand current valuations. Specific examples of items sold provide insights into potential pricing."
,1,1968 fender Jazzcaster guitar and soft case,poor,,,2000,"The estimation of the value considers a few factors such as the condition of the guitar which includes wear, damage, or non-originality of parts that can reduce its value substantially. The valuation uses market listings for getting insights into the current valuations. A specific example of the same model listed on Reverb.com is also considered for this estimation."
,1,1968 fender amp,poor,,,$500,"The valuation considers factors such as condition, model specifics, and market listings. Poor condition means substantial wear, functional issues, and non-original parts, which decrease the amplifier's value. The exact model like Twin Reverb, Super Reverb, Deluxe Reverb, heavily affects the price. Analyzing similar items in the market gives an insight into current valuations."
,1,Snowboard bag with cloths,poor,,,$5,The estimate for the resale value of the items was determined by considering factors such as the item's condition and market listings on resale platforms like eBay and SidelineSwap. The prices of similar items listed in different conditions were analyzed to provide an estimation of value for the items in poor condition.
,1,banjo and case,poor,,,$50,"The valuation took into consideration several factors such as the condition of the banjo, the brand and model, and the market listings of similar items to gain insight into current valuations. The condition of the banjo significantly affects the value, with heavily worn or damaged instruments being less appealing to buyers. Brand recognition and reputation also play a vital role - high-end or vintage brands may retain more value in poor condition, compared to lesser-known brands. Lastly, observing and analyzing similar items on the market helps in providing a more accurate valuation."
,1,2002 mower deck 12hp briggs stratton,poor,,,50,"The estimate of the mower's value takes into account factors such as the age and depreciation of the mower, its poor condition indicating significant wear potentially needing repairs, and the analysis of similar items' current valuations on the market. Specifically, referencing the price of a Power Pro Riding Lawn Mower with a 12hp Briggs & Stratton engine and a 38-inch deck in very good condition listed for $285, it was determined that a similar mower in poor condition would be valued significantly lower."
,1,1998 kawasaki muel,poor,,,400,"This valuation estimate evaluates several components such as the condition of the vehicle, specific model details, and the analysis of similarly listed items on the market."
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"NOTE: As I noted in previous communication Several Items, that where appraised are my dad's things that I enherited. in 2021, and have just been stored, ",,,,,,,
